Arm	# Genes	Amp frequency	Amp z-score	Amp q-value	Del Frequency	Del z-score	Del q-value
1p	1423	0.49	7.42	7.58e-13	0.25	1.46	0.206
1q	1274	0.74	14.5	0	0.17	0.0607	0.928
2p	590	0.09	-1.31	1	0.05	-2.43	0.998
2q	1017	0.08	-2.09	1	0.04	-2.87	0.998
3p	661	0.08	-1.6	1	0.08	-1.6	0.998
3q	732	0.09	-1.48	1	0.05	-2.57	0.998
4p	291	0.02	-2.61	1	0.16	1.24	0.287
4q	667	0.00	-3.48	1	0.21	2.02	0.0789
5p	169	0.34	7.09	6.6e-12	0.05	-1.65	0.998
5q	1009	0.34	5.05	1.27e-06	0.05	-2.39	0.998
6p	768	0.33	4.76	4.74e-06	0.19	1.09	0.344
6q	550	0.09	-0.934	1	0.34	5.98	1.48e-08
7p	390	0.33	6.09	4.55e-09	0.03	-2.27	0.998
7q	815	0.33	5.16	8.1e-07	0.05	-2.26	0.998
8p	370	0.19	1.24	0.286	0.66	15.6	0
8q	554	0.64	13.7	0	0.26	2.5	0.0313
9p	275	0.06	-1.82	1	0.07	-1.53	0.998
9q	731	0.07	-1.95	1	0.09	-1.41	0.998
10p	248	0.19	2.11	0.0503	0.06	-1.47	0.998
10q	817	0.12	-0.592	1	0.16	0.469	0.71
11p	578	0.02	-3.07	1	0.07	-1.67	0.998
11q	1048	0.01	-3.68	1	0.12	-1.1	0.998
12p	374	0.09	-0.972	1	0.07	-1.55	0.998
12q	943	0.10	-1.4	1	0.06	-2.44	0.998
13q	400	0.06	-1.69	1	0.28	4.62	1.88e-05
14q	874	0.12	-0.809	1	0.21	1.55	0.186
15q	776	0.09	-1.23	1	0.24	2.51	0.0313
16p	585	0.04	-2.46	1	0.19	1.71	0.145
16q	456	0.01	-2.85	1	0.26	4	0.000253
17p	420	0.11	-0.4	1	0.44	9.17	0
17q	1086	0.25	2.29	0.0337	0.16	0.032	0.928
18p	93	0.07	-1.15	1	0.11	0.0882	0.928
18q	265	0.07	-1.3	1	0.13	0.483	0.71
19p	721	0.29	4.07	0.000106	0.09	-1.31	0.998
19q	1055	0.29	3.53	0.000751	0.04	-2.59	0.998
20p	249	0.22	2.98	0.00485	0.04	-2.09	0.998
20q	528	0.25	3.54	0.000751	0.01	-2.93	0.998
21p	8	0.01	-2.64	1	0.19	2.73	0.0209
21q	324	0.01	-2.89	1	0.20	2.4	0.0363
22q	598	0.05	-2.08	1	0.22	2.35	0.0373
